enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
0,0,29,1,1,0,0,1,0,0,1,0,1,0,0,61.4418335
0,0,28,1,0,0,0,1,0,0,1,1,1,0,0,46.56281662
0,0,48,0,0,0,0,1,0,0,1,1,1,0,1,60.05490875
0,0,42,1,1,0,0,0,0,1,1,0,1,0,0,96.37187958
0,0,41,0,0,0,0,1,0,0,1,1,1,0,0,5.668934345
0,1,45,0,0,0,0,1,0,0,1,1,0,0,0,77.2134552
1,1,58,0,1,0,0,1,0,0,1,1,1,0,0,8.57927227
0,1,29,1,0,0,0,1,0,0,1,1,1,0,0,119.0476227
1,1,22,1,0,0,0,1,0,0,1,1,1,0,0,92.08995819
0,1,57,1,0,0,1,0,0,0,0,1,1,0,0,56.35707855
0,1,20,1,0,0,0,1,0,0,1,1,1,0,0,56.35707855
0,1,53,1,0,0,0,1,0,0,1,1,1,0,0,77.2134552
1,1,55,1,1,0,0,1,0,0,1,1,0,0,1,116.0568008
0,0,33,1,0,0,0,0,1,0,1,1,0,0,0,34.13435364
0,1,33,1,0,0,1,0,0,0,1,1,1,0,0,39.68254089
0,0,35,1,0,0,0,1,0,0,1,1,1,0,0,0
0,1,33,0,0,0,0,1,0,0,1,1,1,0,1,130.3854828
1,0,36,0,1,0,1,0,0,0,0,0,1,0,0,71.96071625
1,0,52,1,0,0,0,1,0,0,1,1,1,0,1,0
0,1,21,1,0,0,1,0,0,0,1,1,1,0,0,6.826870441
0,0,45,1,0,0,0,1,0,0,1,1,1,0,1,0
0,0,41,1,0,0,0,1,0,0,1,1,0,0,1,0
0,0,50,1,1,0,0,0,1,0,1,0,1,0,0,197.979248
1,1,27,1,1,0,1,0,0,0,1,1,1,0,0,180.1647186
0,1,43,0,1,0,1,0,0,0,0,1,1,0,0,130.8646698
1,1,44,1,0,0,0,1,0,0,1,1,1,0,0,0
0,1,49,0,0,0,0,0,1,0,1,1,1,0,0,25.73781776
1,0,30,1,1,0,0,1,0,0,1,1,1,0,1,153.0612183
0,0,33,0,0,0,0,1,0,0,1,1,0,0,0,242.3822784
0,0,34,0,1,0,1,0,0,0,0,0,1,0,0,3.757138491
0,1,48,1,0,0,1,0,0,0,1,1,1,0,0,5.668934345
0,1,37,0,0,0,0,1,0,0,1,1,1,0,0,0
1,0,29,1,0,0,0,1,0,0,1,1,0,0,0,20.4806118
1,0,46,1,0,0,0,1,0,0,1,1,1,0,0,47.78809357
0,1,59,0,1,0,0,1,0,0,1,1,0,0,0,102.4030609
0,0,21,1,1,0,1,0,0,0,0,1,1,1,0,57.41691589
1,1,30,1,1,0,0,1,0,0,1,0,1,0,0,179.3330688
0,0,28,1,0,0,0,1,0,0,1,1,1,0,1,34.13435364
0,0,26,1,0,0,0,1,0,0,1,1,1,0,0,0
1,1,32,1,0,0,0,1,0,0,1,1,1,0,1,24.23419952
0,1,37,0,0,0,0,1,0,0,1,1,1,0,0,25.73781776
1,0,35,1,1,0,0,0,0,1,1,0,0,0,0,39.68254089
1,1,37,0,0,0,0,0,0,1,1,1,1,0,0,0
1,0,28,1,0,0,0,0,1,0,1,1,1,0,0,0
0,1,40,1,1,0,0,1,0,0,1,1,1,0,0,0
1,1,23,0,0,0,0,1,1,1,1,1,0,0,0,42.8963623
0,0,54,1,0,0,0,1,0,0,1,1,1,0,0,25.73781776
1,0,52,1,0,0,0,1,0,0,1,1,1,0,0,0
0,0,47,0,0,0,0,0,1,0,1,1,1,0,0,85.03401184
1,1,45,1,0,0,0,1,0,0,1,1,1,0,1,11.54201317
0,1,46,1,1,0,0,1,0,0,1,0,1,0,0,153.0612183
1,1,34,1,0,0,0,1,0,1,1,1,1,0,0,143.3642883
0,0,46,1,0,0,0,1,0,0,1,1,1,0,1,343.1777649
0,0,43,1,1,0,1,0,0,0,0,1,1,0,0,62.35827637
0,0,40,0,0,0,0,1,0,1,1,1,0,0,0,11.54201317
0,0,62,1,0,0,0,1,0,0,1,1,1,0,0,38.09685135
1,0,41,0,0,0,0,1,0,0,1,1,1,0,0,47.78809357
0,1,33,0,0,0,1,0,0,0,0,1,1,0,0,17.00680351
1,1,57,0,1,0,0,1,0,0,1,1,1,0,1,82.39627838
1,0,48,1,1,0,0,0,1,0,1,1,1,0,0,34.6260376
0,1,52,0,0,0,0,1,0,1,1,1,1,0,0,0
0,1,56,1,0,0,0,1,0,0,1,1,1,0,0,94.37199402
0,1,43,1,1,0,0,1,0,1,1,1,1,0,0,0
0,0,49,1,0,0,0,1,0,0,1,1,1,0,0,75.09557343
0,1,49,1,0,0,0,1,0,1,1,1,0,0,0,163.0061798
0,0,58,0,1,0,1,0,0,0,0,0,1,0,0,33.92787933
0,0,46,0,0,0,0,1,0,0,1,1,1,0,0,12.69894981
0,0,25,1,0,0,0,1,0,0,1,1,1,0,0,101.783638
0,0,48,0,0,0,0,1,0,0,1,1,1,0,0,0
0,0,40,0,0,0,0,0,0,1,1,1,1,0,0,128.6890869
0,1,20,0,0,0,0,1,0,0,1,1,1,0,0,126.9621429
1,1,36,1,0,0,1,0,0,0,0,1,1,0,0,53.31523895
1,1,20,1,0,0,0,1,0,0,1,1,1,0,0,4.846839905
1,1,28,1,0,0,0,1,0,0,1,1,1,0,0,159.9457092
1,1,35,1,0,0,1,0,0,0,1,1,1,0,0,103.8781128
1,1,48,0,1,0,0,1,0,0,1,1,1,1,1,129.7105408
0,1,48,1,0,0,1,1,0,0,1,1,1,0,0,34.13435364
0,0,62,0,0,0,0,1,0,0,1,1,1,0,0,173.130188
1,1,49,0,0,0,0,1,0,0,1,1,1,1,0,57.71006393
1,0,37,1,1,0,1,0,0,0,0,1,1,0,0,14.54051971
0,0,42,1,0,0,0,0,0,1,1,1,1,0,0,75.09557343
0,1,47,0,0,0,0,1,0,0,1,1,1,0,0,0
1,1,52,0,0,0,0,1,0,0,1,1,1,0,0,0
0,1,40,0,1,0,0,1,0,0,1,0,1,0,1,53.31523895
0,0,48,1,0,0,0,0,0,1,0,1,1,0,0,33.92787933
0,0,47,1,0,0,1,0,0,0,1,1,1,1,0,128.6890869
0,1,35,1,0,0,1,1,0,1,1,1,1,0,0,130.8646698
0,1,21,0,0,0,0,1,0,0,1,1,1,0,0,25.73781776
1,1,49,0,0,0,0,1,0,0,1,1,1,0,0,8.57927227
0,0,34,0,0,0,0,1,0,0,1,1,1,0,0,5.668934345
0,1,51,0,1,0,0,0,1,0,1,1,1,0,0,94.37199402
0,1,55,0,0,0,0,0,0,1,1,1,1,0,0,17.00680351
1,1,38,1,1,0,0,1,0,0,1,0,1,0,0,88.74932098
1,0,59,1,0,0,0,1,0,0,1,1,1,0,0,6.826870441
0,1,38,0,0,0,0,1,0,0,1,1,1,0,0,6.826870441
0,1,53,1,1,0,0,1,0,0,1,1,1,0,0,334.5916138
1,1,43,0,1,0,0,1,0,0,1,1,1,0,0,85.03401184
